label,mae,rmse,mape
Naive (lag-1),520.2609178927079,779.4270088905782,23.974482506634978
Random Forest,407.1958484753868,592.3959709950935,19.166603282315105
LightGBM,414.37279895767927,600.4266070889721,19.13201608224363
